id,Name,titleProject_id,class,score,username,password
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,ippzju0c
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,vgq9W0eQ
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА,ung17skh
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН,uzuJu4fP
328,Незлина Жанна Василевна,426,8б,5,Незлина_ЖВ,1tGHQjam
329,Федичева Вероника Кирилловна,37,7х,4,Федичева_ВК,qPTLpxmS
330,Пустынкин Вадим Антонович,388,10в,5,Пустынкин_ВА,45F5VJ4z
331,Аринакова Ирина Михайловна,150,8в,5,Аринакова_ИМ,zLjuzfvQ
332,Обиралкова Мария Егоровна,294,11т,5,Обиралкова_МЕ,G1b838Ae
333,Аристарова Валентина Максимовна,443,11г,2,Аристарова_ВМ,aCuFuHDW
334,Яуров Герасим Юрьевич,38,9а,5,Яуров_ГЮ,1P3dtMET
335,Духонькин Вячеслав Фёдорович,2,9в,4,Духонькин_ВФ,iXYkSp5d
336,Гвасков Евгений Михаилович,402,9в,5,Гвасков_ЕМ,cjIa06YU
337,Жабынина Галина Николаевна,185,7х,5,Жабынина_ГН,vRX4urlG
338,Шерюкова Виолетта Романовна,440,9б,4,Шерюкова_ВР,thgaJzFk
339,Колокатов Пётр Евгеньевич,484,10в,3,Колокатов_ПЕ,tqcIq24s
340,Шайдуков Андрей Михаилович,317,9и,4,Шайдуков_АМ,0g746ijJ
341,Смирнягина Дарья Игоревна,425,10в,4,Смирнягина_ДИ,fA223Ht7
342,Штырева Ева Олеговна,258,11и,2,Штырева_ЕО,fC2m63k6
343,Ашукин Вячеслав Михаилович,191,10т,4,Ашукин_ВМ,hq2VWsOb
344,Рубченкова Галина Алексеевна,190,9в,3,Рубченкова_ГА,9wgkDQQu
345,Зархин Иван Алексиевич,478,11и,5,Зархин_ИА,HECtyw2a
346,Адиотов Дмитрий Павлович,156,7б,3,Адиотов_ДП,etefAa9j
347,Тищенкова Раиса Валерьевна,79,7д,3,Тищенкова_РВ,OsxqUat8
348,Лозеев Илья Петрович,205,10д,2,Лозеев_ИП,RlLh2fW4
349,Кобяшов Герасим Михаилович,305,11т,2,Кобяшов_ГМ,qkSMcz3T
350,Ронова Клавдия Валерьевна,107,7и,4,Ронова_КВ,idL60Ii4
351,Стрижнов Алексей Евгеньевич,385,11г,3,Стрижнов_АЕ,rgKdEjt8
352,Волынский Алексей Виталиевич,362,11т,5,Волынский_АВ,dbjY0qu5
353,Машонский Василий Данилович,23,9д,5,Машонский_ВД,DLtbzO6I
354,Буриева Зинаида Аркадьевна,104,11д,4,Буриева_ЗА,TXVXHArg
355,Борщина Алёна Ивановна,377,11а,5,Борщина_АИ,JxZvMCSz
356,Белчков Олег Иванович,275,10а,4,Белчков_ОИ,AudxOlzK
357,Остропиков Альберт Данилович,157,8г,2,Остропиков_АД,AFsCVbdH
358,Оргонова Любовь Максимовна,264,7б,4,Оргонова_ЛМ,ggAaWakU
359,Мальков Юрий Евгеньевич,228,7г,3,Мальков_ЮЕ,FUQM09qO
360,Свльхова Наталья Вадимовна,160,9т,5,Свльхова_НВ,w4dl7Jat
361,Мякушков Герасим Леонидович,102,10т,3,Мякушков_ГЛ,oWo62lNS
362,Межуев Георгий Юриевич,355,8г,4,Межуев_ГЮ,sSSdeihY
363,Чериншев Александр Сергеевич,439,8а,2,Чериншев_АС,54Jwds0k
364,Муниров Алексей Андреевич,117,11г,3,Муниров_АА,HJu0dIpC
365,Климухин Руслан Романович,269,10в,3,Климухин_РР,Z4y3F9IS
366,Дембская Екатерина Никитична,64,11б,4,Дембская_ЕН,4jW2SfZW
367,Тюнеев Яков Фёдорович,417,10т,2,Тюнеев_ЯФ,dpJxt1Qz
368,Трушитин Антон Данилович,168,9х,3,Трушитин_АД,8bnzdV5R
369,Балакишиев Роман Алексиевич,143,11х,5,Балакишиев_РА,t7sZc12L
370,Немтюрева Валерия Аркадьевна,12,10г,4,Немтюрева_ВА,stGLbKKY
371,Складанова Клавдия Аркадьевна,257,9а,3,Складанова_КА,wZ0tJKF2
372,Заходина Полина Леонидовна,93,10д,4,Заходина_ПЛ,VAccg4w0
373,Муринов Анатолий Борисович,171,11б,5,Муринов_АБ,WkZp2ZsK
374,Гришалова Любовь Евгеньевна,301,8т,3,Гришалова_ЛЕ,bSk9onlY
375,Ситчихин Станислав Георгиевич,247,8т,5,Ситчихин_СГ,GZiWJOdw
376,Просяных Георгий Василиевич,366,9в,2,Просяных_ГВ,v83hbHkK
377,Дзабиев Григорий Георгиевич,259,11д,5,Дзабиев_ГГ,O81878uW
378,Рыбаулин Григорий Алексеевич,140,11а,5,Рыбаулин_ГА,XtVYAFH6
379,Тупиева Екатерина Ивановна,400,7д,2,Тупиева_ЕИ,NNo5EQSD
380,Куверчева Алена Ивановна,170,10д,3,Куверчева_АИ,06ozBVGM
381,Цаблинова Виктория Богдановна,342,9г,4,Цаблинова_ВБ,QkglHcRf
382,Синенков Григорий Леонидович,230,9в,5,Синенков_ГЛ,w5DWti0E
383,Лизункин Артур Олегович,4,11в,5,Лизункин_АО,FZr6Fo3w
384,Славущева Александра Эдуардовна,81,8а,5,Славущева_АЭ,iyQDy7cU
385,Шахвердов Дмитрий Антонович,132,11б,2,Шахвердов_ДА,36owD6bk
386,Рапацкая Ольга Ивановна,223,10г,3,Рапацкая_ОИ,gsuiLQbt
387,Сторокожев Виталий Аркадиевич,159,9б,2,Сторокожев_ВА,q1eTCpyK
388,Половодов Кирилл Николаевич,18,8т,5,Половодов_КН,It6Ug1tc
389,Халтанова Алена Дмитриевна,49,8б,3,Халтанова_АД,fl0nn6D0
390,Заложнев Роман Фёдорович,448,8в,4,Заложнев_РФ,uVlM4W2z
391,Рыжих Кристина Аркадьевна,213,7а,4,Рыжих_КА,p3B7hknp
392,Буров Руслан Игоревич,405,11и,5,Буров_РИ,CgIiCXm1
393,Гачков Виталий Евгеньевич,277,9т,4,Гачков_ВЕ,Qh1Tm5kw
394,Кадилов Геннадий Борисович,225,10в,3,Кадилов_ГБ,FC0szERX
395,Гликина Алёна Эдуардовна,454,9б,3,Гликина_АЭ,QNV1mSVc
396,Ичкинина Любовь Андреевна,299,8г,5,Ичкинина_ЛА,5zRflOKg
397,Мозшорина Кира Дмитриевна,65,8б,3,Мозшорина_КД,fE05YmmY
398,Брижеватов Константин Борисович,152,11т,2,Брижеватов_КБ,HkRjx5Uk
399,Бучеров Тарас Викторович,429,10д,4,Бучеров_ТВ,zrjBNEDx
400,Мисютина Валерия Эдуардовна,368,9г,2,Мисютина_ВЭ,We1HeZqr
401,Льянов Федор Вадимович,328,8а,4,Льянов_ФВ,ri9tYCdz
402,Щуркин Георгий Яковлевич,180,8в,4,Щуркин_ГЯ,dQpZoF4d
403,Акулин Федор Адамович,241,10г,4,Акулин_ФА,cyRqcwPb
404,Волженкова Екатерина Ивановна,233,9д,4,Волженкова_ЕИ,CSUyA3MZ
405,Махометова София Викторовна,424,8и,3,Махометова_СВ,MOd88Alg
406,Зызлов Геннадий Антонович,274,7в,3,Зызлов_ГА,KzieoWY7
407,Девляшова Кира Олеговна,51,11д,5,Девляшова_КО,Y7XG9lhe
408,Яковкина Алена Никитична,320,9т,5,Яковкина_АН,9guBROvN
409,Бузулев Вадим Николаевич,331,10д,3,Бузулев_ВН,b293eeyF
410,Ганельский Юрий Юриевич,474,9д,3,Ганельский_ЮЮ,oKe1IZhf
411,Шкапрова Ева Ивановна,371,7б,5,Шкапрова_ЕИ,8GiQ7Ytd
412,Чичирин Владимир Георгиевич,11,10а,4,Чичирин_ВГ,PtyWhEPN
413,Шилова Надежда Викторовна,124,9б,2,Шилова_НВ,Cfp1BVnx
414,Коваев Руслан Михаилович,487,9т,3,Коваев_РМ,iZsTYsvp
415,Саверина Надежда Андреевна,407,11б,4,Саверина_НА,Ykmb1m27
416,Тишанкин Олег Адамович,334,9д,3,Тишанкин_ОА,12MiS42F
417,Широпаев Валерий Сергеевич,406,9б,2,Широпаев_ВС,PfXhhqzA
418,Щепанин Олег Адамович,226,7а,3,Щепанин_ОА,FyyuCKMU
419,Оплетин Владислав Аркадиевич,361,10х,4,Оплетин_ВА,2iB9P1Nc
420,Оденова Карина Андреевна,409,8и,4,Оденова_КА,Lp3i6aMm
421,Семагин Альберт Андреевич,456,10х,4,Семагин_АА,MwP6Icci
422,Черданцева Анастасия Олеговна,128,8х,3,Черданцева_АО,t1itOdHJ
423,Лонцова Елизавета Эдуардовна,224,7х,3,Лонцова_ЕЭ,wsEjJ4Ue
424,Сарсекеева Алёна Никитична,462,11и,4,Сарсекеева_АН,WMKozFlo
425,Аковецкий Антон Евгеньевич,500,8б,4,Аковецкий_АЕ,HLj8IFbO
426,Аратский Станислав Борисович,351,9и,2,Аратский_СБ,tEitsHUN
427,Чужриков Пётр Денисович,200,9в,3,Чужриков_ПД,jbpJTPqu
428,Никитшин Алексей Кириллович,111,11и,3,Никитшин_АК,oNV5wKf5
429,Симендяев Василий Алексиевич,45,8д,4,Симендяев_ВА,JPpB7Fwh
430,Ошитков Максим Сергеевич,151,10г,4,Ошитков_МС,WdNxBRUp
431,Юрасов Евгений Романович,338,9и,3,Юрасов_ЕР,k8pvx3zo
432,Головяшин Павел Юриевич,179,7г,5,Головяшин_ПЮ,mvUlMDwo
433,Манжурина Екатерина Сергеевна,219,7т,3,Манжурина_ЕС,GFWLJsNW
434,Никурашин Олег Евгеньевич,291,11х,2,Никурашин_ОЕ,uvKVtLhF
435,Бехтерев Федор Вадимович,137,9х,3,Бехтерев_ФВ,K1WKDAjM
436,Годлевская Катерина Дмитриевна,403,11г,3,Годлевская_КД,CB5Hx9YJ
437,Акиярова Алина Эдуардовна,9,11а,4,Акиярова_АЭ,MOKBwUcN
438,Милина Алена Петровна,359,8г,3,Милина_АП,Tfrt9Vjl
439,Воловин Борис Викторович,350,7т,2,Воловин_БВ,bcEbYGof
440,Туморина Ксения Федоровна,133,8б,5,Туморина_КФ,Cv5GYSnM
441,Желейков Вячеслав Яковлевич,199,8г,3,Желейков_ВЯ,gZaojToe
442,Шишорнина Екатерина Алексеевна,183,8т,3,Шишорнина_ЕА,7gbzLTzO
443,Юумогулова Виолетта Игоревна,311,10х,3,Юумогулова_ВИ,oZVn4wm9
444,Рецков Денис Денисович,85,10д,2,Рецков_ДД,0xkXDQAB
445,Химунина Елизавета Ивановна,392,7д,2,Химунина_ЕИ,INc9Jz4V
446,Кобрянов Александр Алексиевич,455,7т,2,Кобрянов_АА,JbX3iKAK
447,Бирылов Тарас Данилович,243,11а,3,Бирылов_ТД,rsRRA2ZG
448,Туфатулин Ярослав Леонидович,485,8х,4,Туфатулин_ЯЛ,9NsWXg9M
449,Долбишев Николай Аркадиевич,292,10б,5,Долбишев_НА,0vLQ6LBi
450,Махтумова Алёна Эдуардовна,186,10б,4,Махтумова_АЭ,8QFBz6Cb
451,Нарзаркин Алексей Романович,423,10т,2,Нарзаркин_АР,PSvZ26yy
452,Куранина Алена Леонидовна,196,9б,4,Куранина_АЛ,Xgdii6Bb
453,Ситюков Аркадий Евгеньевич,32,10в,3,Ситюков_АЕ,QNJHRZEj
454,Мизюрова Алиса Никитична,176,7г,4,Мизюрова_АН,DhWU0SPL
455,Пандурова Алиса Дмитриевна,130,9б,2,Пандурова_АД,aW1WJYdY
456,Жилейкин Борис Тимофеевич,91,7в,2,Жилейкин_БТ,nTotjQS8
457,Корпункова Виолетта Сергеевна,83,11а,3,Корпункова_ВС,4H9sideZ
458,Пашохонова Анастасия Федоровна,467,9в,4,Пашохонова_АФ,VhYX68SX
459,Сузальцева Тамара Михайловна,357,8х,4,Сузальцева_ТМ,pCJA0p5j
460,Чиличкина Светлана Яковлевна,5,8в,5,Чиличкина_СЯ,7X4FMm97
461,Шантыкова Карина Максимовна,198,10д,3,Шантыкова_КМ,AQKP5sTX
462,Недосекин Владислав Яковлевич,457,10а,4,Недосекин_ВЯ,e298OnfA
463,Максимкин Федор Фёдорович,172,10г,2,Максимкин_ФФ,CoFiOqa7
464,Матбиюшина Виктория Игоревна,237,8д,2,Матбиюшина_ВИ,dlN6x4Yy
465,Шишкунов Герасим Юрьевич,110,8т,4,Шишкунов_ГЮ,8sPlz8p4
466,Сухинин Георгий Алексиевич,475,10х,4,Сухинин_ГА,g3TpW3L9
467,Бисеева Полина Романовна,48,7д,5,Бисеева_ПР,iw4gGtNO
468,Жукулов Михаил Денисович,60,11г,3,Жукулов_МД,KYjRdT58
469,Тоняев Герасим Петрович,378,9т,5,Тоняев_ГП,SyBKhXaV
470,Шушенкова Алёна Олеговна,36,7и,2,Шушенкова_АО,jFNcVEru
471,Разроев Дмитрий Павлович,59,9а,2,Разроев_ДП,Tz9l7pfB
472,Баззаев Анатолий Данилович,339,9д,2,Баззаев_АД,7cnriVkz
473,Цекова Алла Олеговна,50,8д,2,Цекова_АО,3WGDgKJG
474,Аборонова Алиса Алексеевна,444,7г,5,Аборонова_АА,e4qWJftw
475,Ягловская Ева Олеговна,181,8в,4,Ягловская_ЕО,p9kFIlAn
476,Шароварова Яна Романовна,175,8а,4,Шароварова_ЯР,kZoa6PuR
477,Общев Яков Викторович,466,8а,4,Общев_ЯВ,hpjwmwup
478,Ойзерская Катерина Эдуардовна,120,7х,2,Ойзерская_КЭ,AmEOBhAB
479,Прусский Ярослав Иванович,479,11б,2,Прусский_ЯИ,Cvyu9qzd
480,Лабинов Павел Алексеевич,272,7б,5,Лабинов_ПА,w5RMKXKx
481,Покровов Эдуард Павлович,312,8б,2,Покровов_ЭП,u5amnhic
482,Мачехин Эдуард Данилович,19,7д,3,Мачехин_ЭД,Vd9QjxG8
483,Кодорская Раиса Ивановна,27,11б,3,Кодорская_РИ,DrbwE7Es
484,Кондраева Марина Ивановна,469,9д,3,Кондраева_МИ,ZtYlFx1E
485,Бульенков Валентин Иванович,136,10т,4,Бульенков_ВИ,yKxQbgOU
486,Тагакова Вероника Яковлевна,393,8т,4,Тагакова_ВЯ,xFOToaCu
487,Гершанова Любовь Евгеньевна,383,11т,5,Гершанова_ЛЕ,YcJz8ZM4
488,Салина Алена Егоровна,73,11в,5,Салина_АЕ,MsFJ6UUS
489,Фрумова Зинаида Аркадьевна,78,8а,4,Фрумова_ЗА,ZDAr0NxH
490,Хорняков Борис Борисович,13,8г,2,Хорняков_ББ,Gqvrugpr
491,Гдагазина Лиза Василевна,212,9т,5,Гдагазина_ЛВ,d7UPcCnc
492,Агаршев Ярослав Михаилович,276,9т,2,Агаршев_ЯМ,bDZh1o6V
493,Корюшин Пётр Антонович,326,8х,2,Корюшин_ПА,PubQsYQy
494,Калаев Пётр Алексиевич,68,8а,3,Калаев_ПА,bdnmYaLC
495,Ккаталкина Виолетта Егоровна,53,7б,2,Ккаталкина_ВЕ,Lo9FXp2Q
496,Рачнов Герасим Алексеевич,103,10а,5,Рачнов_ГА,czFBNyy7
497,Миндубаева Людмила Леонидовна,477,11и,2,Миндубаева_ЛЛ,iCqonxSi
498,Агафьева Вера Ивановна,352,11х,3,Агафьева_ВИ,WDJx95cw
499,Житин Эдуард Адамович,481,9а,5,Житин_ЭА,AvL62AAE
